league,season,team,player,standard_nation,standard_pos,standard_age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG
ITA-Serie A,2425,Como,Gabriel Strefezza,BRA,"MF,FW",27,1997,37,32,2619,29.1,6,4,10,6,0,0,5,0,0.21,0.14,0.34,0.21,0.34,BRA,"MF,FW",27,1997,29.1,6,57,22,38.6,1.96,0.76,0.11,0.27,0,0,BRA,"MF,FW",27,1997,29.1,5,0,0,46,71,2,124,13,38,,,0
ITA-Serie A,2425,Como,Jonathan Ikone,FRA,"MF,FW",26,1998,13,5,540,6.0,2,0,2,2,0,0,1,0,0.33,0.0,0.33,0.33,0.33,FRA,"MF,FW",26,1998,6.0,2,16,5,31.3,2.67,0.83,0.13,0.4,0,0,FRA,"MF,FW",26,1998,6.0,1,0,0,3,7,2,1,0,9,,,0
ITA-Serie A,2425,Como,Nicolás Paz,ARG,"MF,FW",19,2004,35,30,2687,29.9,6,8,14,6,0,1,6,0,0.2,0.27,0.47,0.2,0.47,ARG,"MF,FW",19,2004,29.9,6,110,38,34.5,3.68,1.27,0.05,0.16,0,1,ARG,"MF,FW",19,2004,29.9,6,0,0,47,33,2,42,20,32,,,0
ITA-Serie A,2425,Como,Patrick Cutrone,ITA,FW,26,1998,33,23,2047,22.7,7,4,11,7,0,1,1,0,0.31,0.18,0.48,0.31,0.48,ITA,FW,26,1998,22.7,7,70,26,37.1,3.08,1.14,0.1,0.27,0,1,ITA,FW,26,1998,22.7,1,0,0,23,28,20,30,5,9,,,0
ITA-Serie A,2425,Como,Simone Verdi,ITA,"FW,MF",32,1992,9,0,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",32,1992,1.3,0,2,2,100.0,1.57,1.57,0.0,0.0,0,0,ITA,"FW,MF",32,1992,1.3,1,0,0,1,1,0,13,0,2,,,0
ITA-Serie A,2425,Empoli,Christian Kouamé,CIV,"FW,MF",26,1997,8,5,507,5.6,1,0,1,1,0,0,0,0,0.18,0.0,0.18,0.18,0.18,CIV,"FW,MF",26,1997,5.6,1,16,5,31.3,2.84,0.89,0.06,0.2,0,0,CIV,"FW,MF",26,1997,5.6,0,0,0,7,15,2,2,0,4,,,0
ITA-Serie A,2425,Empoli,Emmanuel Ekong,SWE,FW,22,2002,15,0,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,SWE,FW,22,2002,2.1,0,4,1,25.0,1.94,0.48,0.0,0.0,0,0,SWE,FW,22,2002,2.1,1,0,0,3,5,1,0,1,3,,,0
ITA-Serie A,2425,Empoli,Francesco Caputo,ITA,FW,36,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,36,1987,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,FW,36,1987,0.1,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Empoli,Ismael Konate,ITA,FW,18,2006,12,0,116,1.3,0,1,1,0,0,0,0,0,0.0,0.78,0.78,0.0,0.78,ITA,FW,18,2006,1.3,0,3,2,66.7,2.33,1.55,0.0,0.0,0,0,ITA,FW,18,2006,1.3,0,0,0,5,2,0,1,0,2,,,0
ITA-Serie A,2425,Empoli,Lorenzo Colombo,ITA,"FW,MF",22,2002,37,26,2233,24.8,6,2,8,5,1,1,5,1,0.24,0.08,0.32,0.2,0.28,ITA,"FW,MF",22,2002,24.8,6,56,20,35.7,2.26,0.81,0.09,0.25,1,1,ITA,"FW,MF",22,2002,24.8,5,1,1,46,41,6,10,3,15,,,0
ITA-Serie A,2425,Empoli,Ola Solbakken,NOR,"MF,FW",25,1998,21,8,760,8.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,NOR,"MF,FW",25,1998,8.4,0,4,3,75.0,0.47,0.36,0.0,0.0,0,0,NOR,"MF,FW",25,1998,8.4,2,0,0,8,2,2,7,3,3,,,0
ITA-Serie A,2425,Empoli,Pietro Pellegri,ITA,FW,23,2001,11,5,414,4.6,3,0,3,3,0,0,2,0,0.65,0.0,0.65,0.65,0.65,ITA,FW,23,2001,4.6,3,8,4,50.0,1.74,0.87,0.38,0.75,0,0,ITA,FW,23,2001,4.6,2,0,0,10,5,1,3,0,2,,,0
ITA-Serie A,2425,Empoli,Sebastiano Esposito,ITA,"FW,MF",22,2002,33,27,2331,25.9,8,0,8,7,1,2,1,0,0.31,0.0,0.31,0.27,0.27,ITA,"FW,MF",22,2002,25.9,8,61,21,34.4,2.36,0.81,0.11,0.33,1,2,ITA,"FW,MF",22,2002,25.9,1,0,0,47,56,10,55,11,29,,,0
ITA-Serie A,2425,Empoli,Thomas Campaniello,ITA,FW,16,2008,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,16,2008,0.3,0,1,0,0.0,3.6,0.0,0.0,,0,0,ITA,FW,16,2008,0.3,0,0,0,0,1,0,0,0,0,,,0
ITA-Serie A,2425,Fiorentina,Albert Guðmundsson,ISL,"FW,MF",27,1997,24,16,1273,14.1,6,1,7,4,2,2,2,0,0.42,0.07,0.49,0.28,0.35,ISL,"FW,MF",27,1997,14.1,6,27,15,55.6,1.91,1.06,0.15,0.27,2,2,ISL,"FW,MF",27,1997,14.1,2,0,0,13,18,3,24,6,5,,,0
ITA-Serie A,2425,Fiorentina,Christian Kouamé,CIV,"MF,FW",26,1997,18,5,622,6.9,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,CIV,"MF,FW",26,1997,6.9,0,11,1,9.1,1.59,0.14,0.0,0.0,0,0,CIV,"MF,FW",26,1997,6.9,1,0,0,13,14,2,6,1,8,,,0
ITA-Serie A,2425,Fiorentina,Lucas Beltrán,ARG,"MF,FW",23,2001,33,21,1953,21.7,5,4,9,3,2,3,6,0,0.23,0.18,0.41,0.14,0.32,ARG,"MF,FW",23,2001,21.7,5,29,9,31.0,1.34,0.41,0.1,0.33,2,3,ARG,"MF,FW",23,2001,21.7,6,0,0,32,50,4,7,5,11,,,0
ITA-Serie A,2425,Fiorentina,Maat Daniel Caprini,ITA,FW,18,2006,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,18,2006,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,FW,18,2006,0.1,0,0,0,0,0,1,0,0,0,,,0
ITA-Serie A,2425,Fiorentina,Moise Kean,ITA,FW,24,2000,32,31,2704,30.0,19,3,22,18,1,2,6,0,0.63,0.1,0.73,0.6,0.7,ITA,FW,24,2000,30.0,19,105,51,48.6,3.49,1.7,0.17,0.35,1,2,ITA,FW,24,2000,30.0,6,0,0,41,52,57,9,6,5,,,0
ITA-Serie A,2425,Fiorentina,Nicolò Zaniolo,ITA,"FW,MF",25,1999,9,4,343,3.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",25,1999,3.8,0,9,4,44.4,2.36,1.05,0.0,0.0,0,0,ITA,"FW,MF",25,1999,3.8,2,1,0,11,15,3,4,0,1,,,0
ITA-Serie A,2425,Fiorentina,Tommaso Rubino,ITA,FW,17,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,17,2006,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,FW,17,2006,0.1,0,0,0,1,0,0,0,0,0,,,0
ITA-Serie A,2425,Genoa,Andrea Pinamonti,ITA,FW,25,1999,36,33,2850,31.7,10,1,11,10,0,1,4,0,0.32,0.03,0.35,0.32,0.35,ITA,FW,25,1999,31.7,10,79,30,38.0,2.49,0.95,0.13,0.33,0,1,ITA,FW,25,1999,31.7,4,0,0,21,43,15,17,1,6,,,0
ITA-Serie A,2425,Genoa,Caleb Ekuban,GHA,FW,30,1994,18,3,555,6.2,1,3,4,1,0,0,1,0,0.16,0.49,0.65,0.16,0.65,GHA,FW,30,1994,6.2,1,18,6,33.3,2.92,0.97,0.06,0.17,0,0,GHA,FW,30,1994,6.2,1,0,0,15,9,5,3,1,3,,,0
ITA-Serie A,2425,Genoa,David Akpan Ankeye,NGA,FW,22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,NGA,FW,22,2002,0.5,0,0,0,,0.0,0.0,,,0,0,NGA,FW,22,2002,0.5,0,0,0,3,1,0,0,0,0,,,0
ITA-Serie A,2425,Genoa,Gastón Pereiro,URU,"FW,MF",29,1995,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,URU,"FW,MF",29,1995,0.3,0,0,0,,0.0,0.0,,,0,0,URU,"FW,MF",29,1995,0.3,0,0,0,0,1,0,1,0,0,,,0
ITA-Serie A,2425,Genoa,Jeff Ekhator,ITA,"FW,MF",17,2006,24,6,769,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,ITA,"FW,MF",17,2006,8.5,1,10,3,30.0,1.17,0.35,0.1,0.33,0,0,ITA,"FW,MF",17,2006,8.5,1,0,0,15,13,3,10,2,4,,,0
ITA-Serie A,2425,Genoa,Junior Messias,BRA,"MF,FW",33,1991,17,8,847,9.4,1,1,2,1,0,1,1,0,0.11,0.11,0.21,0.11,0.21,BRA,"MF,FW",33,1991,9.4,1,18,6,33.3,1.91,0.64,0.06,0.17,0,1,BRA,"MF,FW",33,1991,9.4,1,0,0,8,21,0,22,6,7,,,0
ITA-Serie A,2425,Genoa,Mario Balotelli,ITA,FW,33,1990,6,0,62,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,33,1990,0.7,0,2,0,0.0,2.9,0.0,0.0,,0,0,ITA,FW,33,1990,0.7,2,0,0,2,2,0,3,0,0,,,0
ITA-Serie A,2425,Genoa,Vitinha,POR,"FW,MF",24,2000,25,16,1328,14.8,2,3,5,2,0,0,2,0,0.14,0.2,0.34,0.14,0.34,POR,"FW,MF",24,2000,14.8,2,33,6,18.2,2.24,0.41,0.06,0.33,0,0,POR,"FW,MF",24,2000,14.8,2,0,0,23,25,8,46,13,8,,,0
ITA-Serie A,2425,Hellas Verona,Abdou Harroui,NED,"MF,FW",26,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,0.19,0.39,0.58,0.19,0.58,NED,"MF,FW",26,1998,5.1,1,15,4,26.7,2.92,0.78,0.07,0.25,0,0,NED,"MF,FW",26,1998,5.1,1,0,0,10,3,0,9,2,5,,,0
ITA-Serie A,2425,Hellas Verona,Amin Sarr,SWE,FW,23,2001,32,25,1907,21.2,4,1,5,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,SWE,FW,23,2001,21.2,4,23,7,30.4,1.09,0.33,0.17,0.57,0,0,SWE,FW,23,2001,21.2,1,0,0,47,20,13,7,3,11,,,0
ITA-Serie A,2425,Hellas Verona,Casper Tengstedt,DEN,FW,24,2000,25,20,1517,16.9,6,1,7,5,1,1,2,0,0.36,0.06,0.42,0.3,0.36,DEN,FW,24,2000,16.9,6,38,11,28.9,2.25,0.65,0.13,0.45,1,1,DEN,FW,24,2000,16.9,2,0,0,6,9,6,11,4,5,,,0
ITA-Serie A,2425,Hellas Verona,Dailon Livramento,CPV,"MF,FW",23,2001,29,8,940,10.4,1,1,2,1,0,0,2,1,0.1,0.1,0.19,0.1,0.19,CPV,"MF,FW",23,2001,10.4,1,13,4,30.8,1.24,0.38,0.08,0.25,0,0,CPV,"MF,FW",23,2001,10.4,2,1,0,21,6,8,18,3,11,,,0
ITA-Serie A,2425,Hellas Verona,Daniel Mosquera,COL,FW,24,1999,35,12,1375,15.3,5,1,6,5,0,0,4,0,0.33,0.07,0.39,0.33,0.39,COL,FW,24,1999,15.3,5,57,16,28.1,3.73,1.05,0.09,0.31,0,0,COL,FW,24,1999,15.3,4,0,0,44,17,8,2,3,8,,,0
ITA-Serie A,2425,Hellas Verona,Faride Alidou,GER,FW,23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,GER,FW,23,2001,0.8,0,1,0,0.0,1.27,0.0,0.0,,0,0,GER,FW,23,2001,0.8,0,0,0,1,0,0,3,1,0,,,0
ITA-Serie A,2425,Hellas Verona,Grigoris Kastanos,CYP,"MF,FW",26,1998,27,8,872,9.7,1,1,2,1,0,0,4,0,0.1,0.1,0.21,0.1,0.21,CYP,"MF,FW",26,1998,9.7,1,22,5,22.7,2.27,0.52,0.05,0.2,0,0,CYP,"MF,FW",26,1998,9.7,4,0,0,16,19,1,24,7,15,,,0
ITA-Serie A,2425,Hellas Verona,Junior Ajayi,CIV,FW,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,CIV,FW,19,2004,0.1,0,0,0,,0.0,0.0,,,0,0,CIV,FW,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0
ITA-Serie A,2425,Hellas Verona,Mathis Lambourde,FRA,FW,18,2006,7,0,89,1.0,1,0,1,1,0,0,1,0,1.01,0.0,1.01,1.01,1.01,FRA,FW,18,2006,1.0,1,2,1,50.0,2.02,1.01,0.5,1.0,0,0,FRA,FW,18,2006,1.0,1,0,0,4,1,0,1,0,1,,,0
ITA-Serie A,2425,Hellas Verona,Tomáš Suslov,SVK,"MF,FW",22,2002,31,27,2080,23.1,0,1,1,0,0,0,7,1,0.0,0.04,0.04,0.0,0.04,SVK,"MF,FW",22,2002,23.1,0,32,7,21.9,1.38,0.3,0.0,0.0,0,0,SVK,"MF,FW",22,2002,23.1,7,1,1,54,65,2,50,17,38,,,0
ITA-Serie A,2425,Inter,Joaquín Correa,ARG,"FW,MF",29,1994,19,6,731,8.1,2,2,4,2,0,0,3,0,0.25,0.25,0.49,0.25,0.49,ARG,"FW,MF",29,1994,8.1,2,14,6,42.9,1.72,0.74,0.14,0.33,0,0,ARG,"FW,MF",29,1994,8.1,3,0,0,8,14,2,8,0,5,,,0
ITA-Serie A,2425,Inter,Lautaro Martínez,ARG,FW,26,1997,31,31,2564,28.5,12,3,15,12,0,0,1,0,0.42,0.11,0.53,0.42,0.53,ARG,FW,26,1997,28.5,12,101,34,33.7,3.55,1.19,0.12,0.35,0,0,ARG,FW,26,1997,28.5,1,0,0,42,42,21,13,9,15,,,0
ITA-Serie A,2425,Inter,Marcus Thuram,FRA,FW,26,1997,32,27,2290,25.4,14,4,18,14,0,0,1,0,0.55,0.16,0.71,0.55,0.71,FRA,FW,26,1997,25.4,14,65,27,41.5,2.55,1.06,0.22,0.52,0,0,FRA,FW,26,1997,25.4,1,0,0,30,36,13,13,3,10,,,0
ITA-Serie A,2425,Inter,Marko Arnautović,AUT,FW,35,1989,18,5,549,6.1,4,2,6,4,0,0,1,0,0.66,0.33,0.98,0.66,0.98,AUT,FW,35,1989,6.1,4,14,6,42.9,2.3,0.98,0.29,0.67,0,0,AUT,FW,35,1989,6.1,1,0,0,4,6,8,5,1,6,,,0
ITA-Serie A,2425,Inter,Mehdi Taremi,IRN,FW,32,1992,26,7,816,9.1,1,2,3,0,1,1,1,0,0.11,0.22,0.33,0.0,0.22,IRN,FW,32,1992,9.1,1,14,7,50.0,1.54,0.77,0.0,0.0,1,1,IRN,FW,32,1992,9.1,1,0,0,9,13,6,1,0,1,,,0
ITA-Serie A,2425,Juventus,Dušan Vlahović,SRB,FW,24,2000,29,21,1784,19.8,10,4,14,6,4,4,3,0,0.5,0.2,0.71,0.3,0.5,SRB,FW,24,2000,19.8,10,77,30,39.0,3.88,1.51,0.08,0.2,4,4,SRB,FW,24,2000,19.8,3,0,0,28,18,12,11,1,2,,,0
ITA-Serie A,2425,Juventus,Lorenzo Anghelè,ITA,FW,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,19,2005,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,FW,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Juventus,Nicolás González,ARG,"MF,FW",26,1998,26,23,1750,19.4,3,2,5,3,0,0,3,0,0.15,0.1,0.26,0.15,0.26,ARG,"MF,FW",26,1998,19.4,3,45,21,46.7,2.31,1.08,0.07,0.14,0,0,ARG,"MF,FW",26,1998,19.4,3,0,0,30,40,6,16,9,14,,,0
ITA-Serie A,2425,Juventus,Randal Kolo Muani,FRA,FW,25,1998,16,13,1160,12.9,8,1,9,7,1,1,0,0,0.62,0.08,0.7,0.54,0.62,FRA,FW,25,1998,12.9,8,26,14,53.8,2.02,1.09,0.27,0.5,1,1,FRA,FW,25,1998,12.9,0,0,0,27,20,6,8,4,7,,,0
ITA-Serie A,2425,Lazio,Boulaye Dia,SEN,"MF,FW",27,1996,35,27,2177,24.2,9,3,12,9,0,0,2,0,0.37,0.12,0.5,0.37,0.5,SEN,"MF,FW",27,1996,24.2,9,39,20,51.3,1.61,0.83,0.23,0.45,0,0,SEN,"MF,FW",27,1996,24.2,2,0,0,23,24,3,2,7,10,,,0
ITA-Serie A,2425,Lazio,Loum Tchaouna,FRA,"MF,FW",20,2003,24,6,660,7.3,1,0,1,1,0,0,4,1,0.14,0.0,0.14,0.14,0.14,FRA,"MF,FW",20,2003,7.3,1,23,8,34.8,3.14,1.09,0.04,0.13,0,0,FRA,"MF,FW",20,2003,7.3,4,1,1,11,7,0,32,4,3,,,0
ITA-Serie A,2425,Lazio,Mattia Zaccagni,ITA,"MF,FW",29,1995,34,33,2686,29.8,8,6,14,6,2,2,10,0,0.27,0.2,0.47,0.2,0.4,ITA,"MF,FW",29,1995,29.8,8,48,17,35.4,1.61,0.57,0.13,0.35,2,2,ITA,"MF,FW",29,1995,29.8,10,0,0,35,98,10,156,29,27,,,0
ITA-Serie A,2425,Lazio,Pedro,ESP,"MF,FW",37,1987,30,6,1102,12.2,10,1,11,8,2,2,2,0,0.82,0.08,0.9,0.65,0.74,ESP,"MF,FW",37,1987,12.2,10,39,18,46.2,3.19,1.47,0.21,0.44,2,2,ESP,"MF,FW",37,1987,12.2,2,0,0,17,24,1,65,2,14,,,0
ITA-Serie A,2425,Lazio,Tijjani Noslin,NED,"MF,FW",25,1999,30,8,861,9.6,2,2,4,2,0,0,2,0,0.21,0.21,0.42,0.21,0.42,NED,"MF,FW",25,1999,9.6,2,19,6,31.6,1.99,0.63,0.11,0.33,0,0,NED,"MF,FW",25,1999,9.6,2,0,0,20,15,1,15,1,5,,,0
ITA-Serie A,2425,Lazio,Valentín Castellanos,ARG,FW,25,1998,29,28,2384,26.5,10,3,13,8,2,3,9,1,0.38,0.11,0.49,0.3,0.42,ARG,FW,25,1998,26.5,10,108,41,38.0,4.08,1.55,0.07,0.2,2,3,ARG,FW,25,1998,26.5,9,1,0,38,42,17,25,8,6,,,0
ITA-Serie A,2425,Lecce,Ante Rebić,CRO,"FW,MF",30,1993,27,7,788,8.8,1,0,1,1,0,0,3,2,0.11,0.0,0.11,0.11,0.11,CRO,"FW,MF",30,1993,8.8,1,13,5,38.5,1.48,0.57,0.08,0.2,0,0,CRO,"FW,MF",30,1993,8.8,3,2,0,19,14,7,32,2,10,,,0
ITA-Serie A,2425,Lecce,Jesper Karlsson,SWE,"MF,FW",26,1998,13,6,495,5.5,1,0,1,0,1,1,2,0,0.18,0.0,0.18,0.0,0.0,SWE,"MF,FW",26,1998,5.5,1,10,5,50.0,1.82,0.91,0.0,0.0,1,1,SWE,"MF,FW",26,1998,5.5,2,0,0,4,0,0,27,0,2,,,0
ITA-Serie A,2425,Lecce,Lameck Banda,ZAM,"MF,FW",23,2001,15,6,610,6.8,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,ZAM,"MF,FW",23,2001,6.8,0,17,4,23.5,2.51,0.59,0.0,0.0,0,0,ZAM,"MF,FW",23,2001,6.8,1,0,0,10,20,2,23,3,5,,,0
ITA-Serie A,2425,Lecce,Nicola Sansone,ITA,"FW,MF",32,1991,5,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,"FW,MF",32,1991,0.7,0,3,1,33.3,4.15,1.38,0.0,0.0,0,0,ITA,"FW,MF",32,1991,0.7,1,0,0,0,1,1,4,0,0,,,0
ITA-Serie A,2425,Lecce,Nikola Krstović,MNE,FW,24,2000,37,37,3057,34.0,11,5,16,9,2,3,6,0,0.32,0.15,0.47,0.26,0.41,MNE,FW,24,2000,34.0,11,137,42,30.7,4.03,1.24,0.07,0.21,2,3,MNE,FW,24,2000,34.0,6,0,0,57,55,20,8,6,8,,,0
ITA-Serie A,2425,Lecce,Rareș-Cătălin Burnete,ROU,FW,20,2004,4,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ROU,FW,20,2004,0.3,0,1,0,0.0,3.21,0.0,0.0,,0,0,ROU,FW,20,2004,0.3,0,0,0,2,2,0,0,0,0,,,0
ITA-Serie A,2425,Lecce,Santiago Pierotti,ARG,"MF,FW",23,2001,36,22,1937,21.5,4,2,6,4,0,0,6,1,0.19,0.09,0.28,0.19,0.28,ARG,"MF,FW",23,2001,21.5,4,32,7,21.9,1.49,0.33,0.13,0.57,0,0,ARG,"MF,FW",23,2001,21.5,6,1,1,54,13,12,17,11,25,,,0
ITA-Serie A,2425,Lecce,Tete Morente,ESP,"MF,FW",27,1996,31,23,2021,22.5,3,2,5,3,0,0,5,0,0.13,0.09,0.22,0.13,0.22,ESP,"MF,FW",27,1996,22.5,3,41,13,31.7,1.83,0.58,0.07,0.23,0,0,ESP,"MF,FW",27,1996,22.5,5,0,0,26,24,0,56,13,16,,,0
ITA-Serie A,2425,Milan,Alessandro Florenzi,ITA,"DF,FW",33,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,"DF,FW",33,1991,0.1,0,0,0,,0.0,0.0,,,0,0,ITA,"DF,FW",33,1991,0.1,0,0,0,0,0,0,1,0,0,,,0
ITA-Serie A,2425,Milan,Bob Murphy Omoregbe,ITA,FW,20,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,20,2003,0.0,0,0,0,,0.0,0.0,,,0,0,ITA,FW,20,2003,0.0,0,0,0,1,0,0,0,0,0,,,0
ITA-Serie A,2425,Milan,Christian Pulisic,USA,"MF,FW",25,1998,34,29,2478,27.5,11,9,20,8,3,4,1,0,0.4,0.33,0.73,0.29,0.62,USA,"MF,FW",25,1998,27.5,11,57,24,42.1,2.07,0.87,0.14,0.33,3,4,USA,"MF,FW",25,1998,27.5,1,0,0,20,37,3,118,5,29,,,0
ITA-Serie A,2425,Milan,Francesco Camarda,ITA,FW,16,2008,10,1,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,16,2008,2.3,0,8,1,12.5,3.5,0.44,0.0,0.0,0,0,ITA,FW,16,2008,2.3,0,0,0,8,1,2,1,0,2,,,0
ITA-Serie A,2425,Milan,Luka Jović,SRB,FW,26,1997,15,6,557,6.2,2,0,2,2,0,0,1,0,0.32,0.0,0.32,0.32,0.32,SRB,FW,26,1997,6.2,2,11,4,36.4,1.78,0.65,0.18,0.5,0,0,SRB,FW,26,1997,6.2,1,0,0,4,7,0,2,1,0,,,0
ITA-Serie A,2425,Milan,Noah Okafor,SUI,"FW,MF",24,2000,11,5,414,4.6,1,0,1,1,0,0,0,0,0.22,0.0,0.22,0.22,0.22,SUI,"FW,MF",24,2000,4.6,1,12,6,50.0,2.61,1.3,0.08,0.17,0,0,SUI,"FW,MF",24,2000,4.6,0,0,0,6,5,1,13,2,1,,,0
ITA-Serie A,2425,Milan,Rafael Leão,POR,"MF,FW",25,1999,34,25,2323,25.8,8,8,16,8,0,0,5,0,0.31,0.31,0.62,0.31,0.62,POR,"MF,FW",25,1999,25.8,8,67,29,43.3,2.6,1.12,0.12,0.28,0,0,POR,"MF,FW",25,1999,25.8,5,0,0,19,52,7,55,6,11,,,0
ITA-Serie A,2425,Milan,Samuel Chukwueze,NGA,"MF,FW",25,1999,26,9,925,10.3,3,2,5,3,0,0,0,0,0.29,0.19,0.49,0.29,0.49,NGA,"MF,FW",25,1999,10.3,3,32,8,25.0,3.11,0.78,0.09,0.38,0,0,NGA,"MF,FW",25,1999,10.3,0,0,0,3,10,3,49,2,11,,,0
ITA-Serie A,2425,Milan,Santiago Giménez,MEX,FW,23,2001,14,7,669,7.4,5,2,7,5,0,1,3,1,0.67,0.27,0.94,0.67,0.94,MEX,FW,23,2001,7.4,5,23,10,43.5,3.09,1.35,0.22,0.5,0,1,MEX,FW,23,2001,7.4,3,1,0,11,4,7,2,1,3,,,0
ITA-Serie A,2425,Milan,Tammy Abraham,ENG,FW,26,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,0.23,0.3,0.53,0.15,0.46,ENG,FW,26,1997,13.1,3,28,13,46.4,2.13,0.99,0.07,0.15,1,2,ENG,FW,26,1997,13.1,1,0,0,23,12,6,3,2,11,,,0
ITA-Serie A,2425,Milan,Yunus Musah,USA,"MF,FW",21,2002,29,19,1571,17.5,0,2,2,0,0,0,5,0,0.0,0.11,0.11,0.0,0.11,USA,"MF,FW",21,2002,17.5,0,22,5,22.7,1.26,0.29,0.0,0.0,0,0,USA,"MF,FW",21,2002,17.5,5,0,0,36,17,1,24,7,18,,,0
ITA-Serie A,2425,Milan,Álvaro Morata,ESP,"FW,MF",31,1992,16,13,1099,12.2,5,0,5,5,0,0,5,0,0.41,0.0,0.41,0.41,0.41,ESP,"FW,MF",31,1992,12.2,5,27,10,37.0,2.21,0.82,0.19,0.5,0,0,ESP,"FW,MF",31,1992,12.2,5,0,0,25,18,11,12,5,10,,,0
ITA-Serie A,2425,Monza,Andrea Petagna,ITA,FW,29,1995,13,2,335,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,29,1995,3.7,0,4,0,0.0,1.07,0.0,0.0,,0,0,ITA,FW,29,1995,3.7,1,0,0,6,4,4,1,1,1,,,0
ITA-Serie A,2425,Monza,Daniel Maldini,ITA,"MF,FW",22,2001,20,16,1306,14.5,3,0,3,3,0,0,5,0,0.21,0.0,0.21,0.21,0.21,ITA,"MF,FW",22,2001,14.5,3,39,14,35.9,2.69,0.96,0.08,0.21,0,0,ITA,"MF,FW",22,2001,14.5,5,0,0,15,39,2,38,4,6,,,0
ITA-Serie A,2425,Monza,Dany Mota,POR,"MF,FW",26,1998,31,24,2104,23.4,5,2,7,5,0,0,3,0,0.21,0.09,0.3,0.21,0.3,POR,"MF,FW",26,1998,23.4,5,42,11,26.2,1.8,0.47,0.12,0.45,0,0,POR,"MF,FW",26,1998,23.4,3,0,0,30,36,7,38,8,4,,,0
