league,season,team,player,standard_nation,standard_pos,standard_age,standard_born,standard_Playing Time_MP,standard_Playing Time_Starts,standard_Playing Time_Min,standard_Playing Time_90s,standard_Performance_Gls,standard_Performance_Ast,standard_Performance_G+A,standard_Performance_G-PK,standard_Performance_PK,standard_Performance_PKatt,standard_Performance_CrdY,standard_Performance_CrdR,standard_Per 90 Minutes_Gls,standard_Per 90 Minutes_Ast,standard_Per 90 Minutes_G+A,standard_Per 90 Minutes_G-PK,standard_Per 90 Minutes_G+A-PK,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_PK,shooting_Standard_PKatt,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG
FRA-Ligue 1,2425,Toulouse,Yann Gboho,FRA,"MF,FW",23,2001,31,27,2333,25.9,5,4,9,5,0,0,2,0,0.19,0.15,0.35,0.19,0.35,FRA,"MF,FW",23,2001,25.9,5,50,26,52.0,1.93,1.0,0.1,0.19,0,0,FRA,"MF,FW",23,2001,25.9,2,0,0,16,61,2,26,6,19,,,0
FRA-Ligue 1,2425,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24,2000,26,22,1901,21.1,7,2,9,6,1,2,4,0,0.33,0.09,0.43,0.28,0.38,MAR,"MF,FW",24,2000,21.1,7,63,29,46.0,2.98,1.37,0.1,0.21,1,2,MAR,"MF,FW",24,2000,21.1,4,0,0,35,25,13,33,6,14,,,0
ITA-Serie A,2425,Atalanta,Ademola Lookman,NGA,"MF,FW",26,1997,31,28,2247,25.0,15,5,20,14,1,1,4,0,0.6,0.2,0.8,0.56,0.76,NGA,"MF,FW",26,1997,25.0,15,82,35,42.7,3.28,1.4,0.17,0.4,1,1,NGA,"MF,FW",26,1997,25.0,4,0,0,31,20,26,123,4,16,,,0
ITA-Serie A,2425,Atalanta,Charles De Ketelaere,BEL,"MF,FW",23,2001,36,25,2070,23.0,7,7,14,7,0,0,1,0,0.3,0.3,0.61,0.3,0.61,BEL,"MF,FW",23,2001,23.0,7,48,21,43.8,2.09,0.91,0.15,0.33,0,0,BEL,"MF,FW",23,2001,23.0,1,0,0,22,39,2,54,3,9,,,0
ITA-Serie A,2425,Atalanta,Gianluca Scamacca,ITA,FW,25,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,FW,25,1999,0.1,0,1,1,100.0,15.0,15.0,0.0,0.0,0,0,ITA,FW,25,1999,0.1,0,0,0,0,0,0,0,0,0,,,0
ITA-Serie A,2425,Atalanta,Juan Cuadrado,COL,"MF,FW",36,1988,23,7,832,9.2,0,2,2,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22,COL,"MF,FW",36,1988,9.2,0,16,4,25.0,1.73,0.43,0.0,0.0,0,0,COL,"MF,FW",36,1988,9.2,3,0,0,9,27,0,56,7,9,,,0
ITA-Serie A,2425,Atalanta,Mateo Retegui,ITA,FW,25,1999,36,32,2383,26.5,25,8,33,21,4,5,3,0,0.94,0.3,1.25,0.79,1.1,ITA,FW,25,1999,26.5,25,104,38,36.5,3.93,1.44,0.2,0.55,4,5,ITA,FW,25,1999,26.5,3,0,0,32,34,6,14,3,10,,,0
ITA-Serie A,2425,Atalanta,Nicolò Zaniolo,ITA,"FW,MF",25,1999,14,0,356,4.0,2,2,4,2,0,0,4,0,0.51,0.51,1.01,0.51,1.01,ITA,"FW,MF",25,1999,4.0,2,11,4,36.4,2.78,1.01,0.18,0.5,0,0,ITA,"FW,MF",25,1999,4.0,4,0,0,9,17,0,4,1,0,,,0
ITA-Serie A,2425,Bologna,Dan Ndoye,SUI,"MF,FW",23,2000,30,26,2143,23.8,8,4,12,6,2,2,4,0,0.34,0.17,0.5,0.25,0.42,SUI,"MF,FW",23,2000,23.8,8,52,20,38.5,2.18,0.84,0.12,0.3,2,2,SUI,"MF,FW",23,2000,23.8,4,0,0,23,101,13,43,9,20,,,0
ITA-Serie A,2425,Bologna,Estanis,ESP,FW,20,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,FW,20,2003,0.1,0,2,0,0.0,20.0,0.0,0.0,,0,0,ESP,FW,20,2003,0.1,0,0,0,1,0,0,0,0,0,,,0
